first_name,n_incidents,predicted_nationality,confidence
tsuyoshi,27053,Japanese,0.959682
pooja,27039,Indian,0.237421
emilie,27032,American,0.130991
sachin,26993,Japanese,0.138923
kerstin,26908,Russian,0.229987
yuta,26843,Japanese,0.353368
regina,26784,Brazilian,0.167346
luciano,26755,Brazilian,0.308326
isabella,26748,Italian,0.19519
kenichi,26706,Japanese,0.652204
bianca,26692,Italian,0.164998
moritz,26685,American,0.57625
tiffany,26667,American,0.256849
nikhil,26602,Russian,0.439448
karina,26586,Russian,0.359176
kamal,26564,Indian,0.326282
mina,26422,Russian,0.232879
hadi,26408,Iranian,0.17542
pradeep,26346,Indian,0.427077
sylvia,26324,American,0.122671
dina,26300,American,0.127744
kazuki,26299,Japanese,0.593381
astrid,26229,American,0.213994
priya,26215,Indian,0.231996
magnus,26197,German,0.163234
travis,26151,American,0.336927
caterina,26149,American,0.114103
fabrice,26138,American,0.200519
terry,26136,American,0.410489
tommaso,26133,American,0.156124
tiago,26046,American,0.189691
dawn,25999,American,0.35623
marian,25993,Iranian,0.235926
brittany,25989,Brazilian,0.213586
ehsan,25911,Iranian,0.551541
lori,25903,American,0.283987
fatima,25871,Indonesian,0.119286
beatrice,25821,American,0.374114
dieter,25794,American,0.181101
alessia,25782,Italian,0.365896
ethan,25781,American,0.227373
eleni,25752,Italian,0.198611
camilla,25733,American,0.219502
antonia,25706,Indonesian,0.153721
colleen,25675,American,0.321805
saurabh,25633,Indian,0.521819
eduard,25594,American,0.246844
yuan,25575,Chinese,0.294176
yuko,25569,Japanese,0.50046
michela,25561,American,0.209316
dinesh,25497,Indian,0.282724
amber,25495,American,0.496369
yosuke,25492,Japanese,0.845423
annie,25476,American,0.340396
debra,25466,Brazilian,0.306141
tania,25437,Greek,0.106836
lydia,25428,Brazilian,0.131331
dylan,25416,American,0.253144
raffaele,25410,Italian,0.267014
nikita,25394,Greek,0.136948
alejandra,25308,American,0.148822
tanya,25305,Bulgarian,0.077115
austin,25282,American,0.554188
qi,25234,American,0.309785
cindy,25161,American,0.318578
veronika,25143,Russian,0.24636
vishal,25124,Indian,0.309786
margarita,25120,American,0.128018
leo,25034,American,0.368552
ayman,25024,American,0.260177
gemma,24951,Dutch,0.143863
frederic,24883,American,0.22679
elise,24770,American,0.221292
allen,24769,American,0.345101
jerry,24765,American,0.329493
faisal,24762,Indian,0.115589
werner,24722,German,0.240871
ariel,24684,American,0.330551
fatma,24669,Indian,0.136755
jerome,24659,American,0.218844
edgar,24635,American,0.218452
meghan,24615,American,0.363
arash,24552,American,0.24124
guilherme,24509,Brazilian,0.594859
akiko,24506,Japanese,0.491295
jelena,24502,American,0.116175
masanori,24443,Japanese,0.559883
alfred,24441,American,0.195844
tarek,24438,American,0.165039
aleksandr,24410,American,0.095682
marcello,24402,American,0.274229
annika,24226,American,0.138811
evgeny,24211,Russian,0.6373
tomoyuki,24199,Japanese,0.840073
bertrand,24088,French,0.391936
lorena,24077,American,0.118725
alyssa,24022,American,0.124402
nelson,23978,Brazilian,0.657142
armin,23973,American,0.256261
raul,23973,American,0.273458
shinichi,23921,Japanese,0.940768
chao,23899,Thai,0.128215
shunsuke,23873,Japanese,0.979481
maureen,23866,American,0.261524
el,23857,American,0.360194
birgit,23846,American,0.204309
